Series Name,Series Code,Country Name,Country Code,1990,2000,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Population growth (annual %),SP.POP.GROW,Brazil,BRA,1.809855764,1.36677133,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154,0.766107802,0.665176682,0.528590453,0.459583548
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,3.426152487,2.610377494,0.826943288,1.089758824,1.354221289,1.262177318,1.073606861,0.910677707,0.902459156,0.975300319,0.683520845,0.58628646
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,3.144036266,2.082163543,1.238626871,1.196115463,1.140935878,1.075496158,1.000160159,0.924880805,0.865282212,0.835902309,0.822461682,0.811520876
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-1.803750479,-0.493896417,-0.559647217,-0.568389264,-0.638069468,-0.701382098,-0.730443175,-0.722080405,-0.703905641,-0.600241518,-0.814846472,-6.187252982
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.619912481,2.983885587,3.008421955,2.979778499,2.972345608,2.934811289,2.865655421,2.768681163,2.703875567,2.688787667,2.650375915,2.559988391
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.02808888,2.041721204,3.551107704,3.345863383,2.18870609,1.629024754,2.287301447,2.983823553,3.26424857,2.867082195,2.672478462,2.66016084
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.774748296,1.899871878,1.13168974,1.130013792,1.109056551,1.12160807,1.16795055,1.099860052,1.01513458,0.967524169,0.902988883,0.884624345
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,3.888891053,1.830648179,1.430499716,1.397775194,1.34979002,1.334085157,1.310482663,1.221445659,1.132442162,1.160057697,1.165135849,1.072167381
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.031332547,2.636027267,2.813538396,3.03550757,3.147582249,2.992175416,2.833798095,2.763737638,2.774879781,2.711853658,2.635819406,2.598102588
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.507660673,0.931281553,1.056591259,1.005337579,0.746339478,1.132348655,1.199520711,1.412455869,1.436136823,1.073795827,0.575421916,1.823370422
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,4.474870114,3.497335382,2.349941283,2.287589883,2.24463645,2.182507103,2.107583017,2.028637661,1.908192659,1.764068377,1.218203729,0.833082382
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,3.076581854,2.800360479,0.608247677,-0.076949023,0.428340362,1.745175422,1.869860895,1.943058623,2.223361071,2.534093932,2.113637226,2.210795117
Population growth (annual %),SP.POP.GROW,Chad,TCD,2.721584666,3.414500241,3.557019324,3.569985466,3.184100813,3.148648506,3.324594916,3.378127749,3.294582728,3.16053306,3.163887505,3.115022186
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.981321463,0.341241968,0.736777668,0.697214601,0.79108558,0.93952721,0.90838964,1.229585322,1.277830313,1.000234462,0.913338674,0.805167545
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.618750608,1.149041725,0.964976309,1.006814959,1.029425554,1.189061026,1.562055456,1.795962799,1.791391972,1.360643634,0.994344898,0.565514128
Population growth (annual %),SP.POP.GROW,China,CHN,1.467303211,0.787956593,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087,0.0892522,-0.013099501
Population growth (annual %),SP.POP.GROW,Colombia,COL,2.102459933,1.619831406,0.990034781,0.947136923,0.941994067,1.068611891,1.512289606,1.895586751,1.830746942,1.470102032,1.143820916,0.691481571
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.712040984,1.940427756,2.144674549,2.152692206,2.160064273,2.169616303,2.046896975,1.905027581,1.872447912,1.900940814,1.899440995,1.82699355
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.281169082,2.898841288,3.409144967,3.446016758,3.389391312,3.466034648,3.442766958,3.272827234,3.186288389,3.224478443,3.22252816,3.197835105
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.816911628,3.816978872,2.406679692,2.390288208,2.388405079,2.388865755,2.391085234,2.394184625,2.355238072,2.332086251,2.316488253,2.28055585
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,2.54138329,1.973588232,1.153271848,1.094945954,1.046343404,1.015470727,0.978713316,0.934615301,0.865128347,0.755771068,0.600406861,0.520031292
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,3.830423779,2.738250905,2.061926495,2.315242748,2.580767289,2.580675808,2.586254296,2.566474934,2.531287446,2.508618203,2.45530301,2.452703201
Population growth (annual %),SP.POP.GROW,Croatia,HRV,0.211805086,-0.986434859,-0.278509063,-0.407343185,-0.824099164,-0.698383457,-1.200610165,-0.893486928,-0.554146739,-0.433210221,-4.256648902,-0.646581847
Population growth (annual %),SP.POP.GROW,Cuba,CUB,0.9406671,0.321944588,0.108603883,0.092232567,0.069407446,0.018675679,-0.049447897,-0.072015237,-0.101983052,-0.141475202,-0.393012542,-0.393269983
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.051535839,-4.075386132,1.133678907,1.347641396,1.319593903,1.060316441,0.319536038,-0.525178744,-1.196439518,-1.596766195,-1.677791247,-1.569658341
